ms,degC
2021,33.90
4045,34.00
6068,34.20
8090,34.30
10113,34.30
12137,34.40
14159,34.40
16182,34.50
18205,34.60
20228,34.60
22250,34.70
24273,34.70
26296,34.80
28318,34.80
30341,34.90
32365,34.90
34387,35.00
36410,35.00
38432,35.00
40457,35.00
42479,35.10
44502,35.10
46526,35.20
48548,35.20
50571,35.30
52594,35.30
54617,35.40
56639,35.40
58662,35.40
60685,35.50
62707,35.50
64732,35.50
66754,35.50
68776,35.60
70800,35.60
72822,35.60
74846,35.70
76868,35.70
78891,35.70
80914,35.70
82936,35.80
84959,35.80
86983,35.80
89006,35.80
91028,35.80
93051,35.90
95074,35.90
97098,35.90
99121,35.90
101143,35.90
103168,36.00
105190,35.90
107214,35.90
109237,36.00
111259,36.00
113283,35.90
115305,36.00
117327,36.00
119350,36.10
121374,36.10
123397,36.00
125419,36.10
127442,36.10
129467,36.00
131489,36.00
133512,36.00
135536,36.10
137559,36.20
139581,36.10
141603,36.10
143628,36.10
145650,36.10
147673,36.10
149697,36.20
151719,36.20
153742,36.20
155766,36.20
157789,36.20
159811,36.20
161835,36.30
163857,36.20
165879,36.20
167902,36.20
169925,36.20
171948,36.20
173970,36.30
175993,36.30
178016,36.20
180039,36.20
182062,36.20
184084,36.20
186106,36.20
188131,36.20
190153,36.30
192176,36.20
194199,36.20
196221,36.20
198244,36.30
200267,36.30
202290,36.30
204314,36.30
206337,36.30
208359,36.30
210383,36.30
212406,36.50
214428,36.30
216453,36.40
218475,36.40
220497,36.30
222521,36.40
226567,36.50
228589,36.40
230611,36.40
232636,36.40
234658,36.40
236681,36.40
238704,36.40
240727,36.40
242751,36.40
244773,36.40
246796,36.40
248820,36.40
250843,36.40
252865,36.40
254888,36.40
256911,36.40
258934,36.40
260957,36.40
262979,36.40
265004,36.40
267026,36.40
269048,36.40
271073,36.40
275119,36.60
277141,36.50
279163,36.40
281188,36.50
283210,36.50
285233,36.50
289278,36.60
291301,36.60
293325,36.50
295348,36.60
299393,36.70
301415,36.50
303439,36.50
305462,36.50
307484,36.50
309509,36.50
311531,36.50
313553,36.50
315576,36.50
317599,36.50
319622,36.60
325689,36.70
327712,36.60
333779,36.70
337824,36.70
339847,36.60
341871,36.60
343894,36.60
345916,36.60
347940,36.50
349963,36.50
351985,36.50
