ms,Temp
2021,36.1
4045,36.1
6069,36
8091,36.1
10114,36.1
12136,36.1
14158,36.1
16183,36.1
18205,36.1
20228,36.1
22250,36.1
24274,36.1
26297,36.1
28319,36.1
30342,36.2
32366,36.2
34390,36.2
36412,36.2
38434,36.2
40457,36.2
42481,36.2
44504,36.2
46526,36.2
48548,36.2
50572,36.2
52596,36.2
54619,36.2
56641,36.2
58663,36.2
60688,36.2
62711,36.2
64734,36.2
66756,36.3
68781,36.3
70803,36.3
72825,36.3
74848,36.3
76871,36.3
78894,36.3
80916,36.3
82940,36.3
84963,36.3
86985,36.3
89010,36.3
91032,36.3
93054,36.3
95079,36.3
97101,36.3
99124,36.3
101148,36.3
103171,36.3
105193,36.3
107216,36.3
109239,36.3
111263,36.4
113286,36.3
115308,36.4
117331,36.3
119354,36.4
121378,36.4
123401,36.4
125423,36.4
127447,36.4
129469,36.4
131493,36.4
133516,36.4
135538,36.4
137562,36.4
139584,36.4
141608,36.4
143631,36.4
145653,36.4
147677,36.4
149699,36.4
151724,36.4
153746,36.4
155768,36.4
157792,36.4
159815,36.4
161838,36.4
163860,36.4
165882,36.4
167907,36.5
169930,36.5
171953,36.5
173975,36.5
175997,36.5
178021,36.5
180045,36.5
182069,36.5
184091,36.5
186114,36.5
188136,36.5
190159,36.5
192184,36.5
194207,36.5
196230,36.5
198252,36.5
200274,36.5
202298,36.5
204322,36.5
206346,36.5
208368,36.5
210391,36.4
212413,36.5
214436,36.4
216460,36.4
218483,36.4
220508,36.4
222531,36.4
224555,36.4
226577,36.5
228599,36.5
230622,36.5
232645,36.5
234670,36.5
236693,36.5
238716,36.4
240739,36.5
242761,36.5
244784,36.5
246807,36.5
248832,36.5
250854,36.5
252876,36.5
254899,36.5
256921,36.5
258945,36.5
260969,36.5
262991,36.5
265014,36.5
267036,36.5
269059,36.5
271083,36.5
273106,36.5
275129,36.5
277151,36.5
279174,36.5
281198,36.5
283220,36.5
285243,36.5
287265,36.5
289289,36.5
291313,36.5
293336,36.5
295358,36.5
297380,36.5
299404,36.5
301428,36.5
303451,36.5
305473,36.5
307495,36.5
309520,36.5
311543,36.5
313566,36.5
315588,36.5
317612,36.5
319636,36.5
321658,36.5
323681,36.5
325703,36.5
327727,36.6
329751,36.5
331773,36.5
333796,36.5
335820,36.5
337843,36.5
339865,36.5
341888,36.5
343912,36.5
345934,36.6
347957,36.5
349979,36.6
352004,36.5
354026,36.5
356048,36.5
358071,36.5
360095,36.5
362118,36.5
364140,36.5
