ms,degC
11330,32.70
13355,32.80
15377,32.90
17399,32.90
19422,33.10
21446,33.10
23469,33.20
25491,33.30
27513,33.30
29538,33.40
31560,33.40
-31953,33.50
-29930,33.60
-27908,33.70
-25885,33.70
-23861,33.80
-21838,33.80
-19816,33.80
-17794,33.90
-15769,33.90
-13747,34.00
-11724,34.00
-9702,34.00
-7679,34.10
-5655,34.10
-3633,34.10
-1610,34.20
412,34.20
2435,34.20
4459,34.20
6481,34.20
8504,34.30
10526,34.30
12551,34.30
14573,34.40
16595,34.40
18618,34.40
20642,34.40
22665,34.40
24687,34.40
26712,34.50
28734,34.40
30756,34.50
-32756,34.50
-30734,34.50
-28711,34.60
-26687,34.60
-24665,34.60
-22642,34.60
-20618,34.60
-18595,34.60
-16573,34.60
-14549,34.60
-12527,34.70
-10505,34.70
-8481,34.70
-6459,34.70
-4436,34.70
-2412,34.80
-390,34.80
1633,34.80
3655,34.80
5680,34.80
7703,34.80
9725,34.80
11748,34.80
13770,34.80
15795,34.80
17817,34.80
19840,34.90
21864,34.90
23886,34.90
25909,34.80
27933,34.90
29956,35.00
31978,35.00
-31536,35.00
-29512,34.90
-27489,35.00
-25466,35.00
-23444,35.00
-21422,35.10
-19398,35.10
-17376,35.10
-15353,35.10
-13329,35.10
-11306,35.10
-9284,35.10
-7260,35.20
-5237,35.20
-3215,35.20
-1192,35.20
832,35.20
2855,35.20
4878,35.20
6900,35.30
8925,35.30
10947,35.30
12969,35.30
14994,35.30
17016,35.30
19039,35.30
21062,35.30
23085,35.30
25108,35.40
27130,35.40
29153,35.40
31175,35.40
-32337,35.40
-30315,35.40
-28293,35.40
-26269,35.50
-24247,35.50
-22222,35.40
-20200,35.50
-18178,35.50
-16154,35.50
-14132,35.50
-12107,35.50
-10085,35.50
-8061,35.50
-6039,35.60
-4017,35.60
-1994,35.60
30,35.60
2053,35.60
4075,35.60
6097,35.60
8122,35.60
10144,35.60
12167,35.60
14191,35.60
16214,35.70
18236,35.70
20259,35.70
22282,35.70
24305,35.70
26328,35.70
28350,35.70
30373,35.70
32396,35.70
-31116,35.70
-29093,35.70
-27071,35.70
-25048,35.80
-23025,35.80
-21003,35.80
-18978,35.80
-16956,35.80
-14933,35.80
-12909,35.80
-10887,35.80
-8864,35.80
-6840,35.80
-4817,35.80
-2795,35.80
-773,35.80
1252,35.80
3274,35.80
5297,35.80
7321,35.80
9344,35.80
11366,35.80
13388,35.80
15413,35.80
17435,35.80
19458,35.80
21482,35.80
23504,35.80
25527,35.80
27551,35.90
29574,35.90
31597,35.90
-31917,35.90
-29894,35.90
-27871,35.90
-25848,35.90
-23825,35.90
-21802,35.90
-19780,35.90
-17757,35.90
-15734,35.90
-13710,35.90
-11687,35.90
-9664,35.90
-7642,35.90
-5619,36.00
-3597,36.00
-1574,36.00
450,36.00
2473,36.00
4496,36.00
6518,36.00
8541,36.00
10563,36.00
12588,36.00
14611,36.00
16633,36.00
18656,36.00
20678,36.00
22703,36.00
24726,36.10
26748,36.10
28771,36.10
30793,36.10
-32718,36.10
-30696,36.10
-28674,36.10
-26651,36.10
-24627,36.10
-22604,36.10
-20582,36.10
-18559,36.10
-16535,36.10
-14512,36.10
-12489,36.10
-10467,36.10
-8443,36.10
-6419,36.20
-4397,36.20
-2374,36.10
-352,36.20
1673,36.20
3695,36.20
5718,36.20
7740,36.20
9762,36.20
11787,36.20
13809,36.20
15832,36.20
17856,36.20
19878,36.20
21901,36.10
23923,36.20
25948,36.20
27970,36.20
29992,36.20
32015,36.20
-31497,36.30
-29474,36.30
-27452,36.30
-25427,36.30
-23405,36.30
-21383,36.30
-19358,36.30
-17336,36.30
-15313,36.30
-13289,36.30
-11267,36.30
-9244,36.30
-7221,36.30
-5198,36.30
-3176,36.30
-1154,36.30
871,36.30
2893,36.30
4916,36.30
6938,36.30
8963,36.30
10985,36.30
13007,36.30
15032,36.30
17054,36.30
19077,36.30
21101,36.30
23123,36.30
25146,36.30
27169,36.30
29192,36.30
31214,36.30
-32300,36.30
-30276,36.30
-28254,36.30
-26231,36.30
-24207,36.30
-22184,36.20
-20162,36.30
-18138,36.30
-16115,36.30
-14093,36.30
