ms,degC
2021,34.60
4045,34.70
6068,34.80
8090,34.80
10114,34.90
12137,35.00
14159,35.00
16182,35.00
18204,35.10
20229,35.20
22251,35.20
24273,35.30
26298,35.30
28320,35.40
30343,35.40
32366,35.50
34388,35.50
36413,35.60
38435,35.50
40458,35.60
42482,35.60
44505,35.60
46527,35.70
48550,35.70
50573,35.70
52596,35.70
54619,35.80
56641,35.80
58665,35.80
60688,35.80
62710,35.90
64735,35.90
66757,35.90
68780,36.00
70804,36.00
72826,36.00
74849,36.00
76871,36.10
78894,36.10
80918,36.10
82940,36.10
84963,36.10
86985,36.10
89010,36.20
91032,36.20
93054,36.20
95077,36.20
97101,36.20
99124,36.20
101146,36.20
103171,36.20
105193,36.20
107215,36.20
109240,36.30
111262,36.30
113285,36.30
115309,36.30
117331,36.30
119354,36.30
121377,36.30
123400,36.40
125424,36.40
127447,36.40
129469,36.40
131493,36.40
133516,36.40
135538,36.40
137563,36.50
139585,36.50
141607,36.50
143632,36.50
145654,36.50
147677,36.50
149701,36.50
151724,36.50
153746,36.50
155770,36.60
157793,36.60
159815,36.60
161840,36.60
163862,36.60
165884,36.60
167908,36.60
169930,36.60
171955,36.60
173977,36.70
176000,36.70
178023,36.70
180045,36.70
182070,36.70
184092,36.70
186115,36.70
188138,36.70
190160,36.70
192185,36.80
194207,36.80
196230,36.80
198254,36.80
200276,36.80
202299,36.80
204322,36.80
206345,36.80
208369,36.80
210392,36.80
212414,36.80
214438,36.80
216461,36.90
218483,36.90
220508,36.80
222530,36.90
224553,36.90
226576,36.90
228598,36.90
230623,36.90
232645,36.90
234668,36.90
236692,36.90
238714,36.80
240737,36.90
242760,36.90
244783,37.00
246805,37.00
248829,36.90
250852,36.90
252874,37.00
254899,37.00
256921,36.90
258944,37.00
260966,37.00
262990,37.00
265013,36.90
267035,36.90
269060,37.00
271082,36.90
273104,36.90
275129,37.00
277151,37.10
279174,37.00
281198,37.00
283220,37.00
285243,37.00
287265,37.00
289290,37.00
291312,37.00
293335,37.00
295357,37.00
297381,37.00
299404,37.00
301426,37.10
303449,37.00
305472,37.10
307494,37.10
309518,37.10
311540,37.10
313563,37.10
315587,37.10
317609,37.10
319632,37.10
321656,37.10
323679,37.10
325701,37.10
327725,37.10
329747,37.10
331771,37.10
333794,37.10
335816,37.10
337841,37.10
339863,37.10
341885,37.10
343910,37.10
345932,37.20
347956,37.20
349978,37.20
352001,37.20
354025,37.20
356047,37.20
358070,37.20
360094,37.20
362117,37.20
364139,37.20
366162,37.20
368185,37.20
370208,37.20
372231,37.20
374253,37.20
376278,37.20
378300,37.20
380322,37.20
382347,37.20
384369,37.20
386392,37.20
388415,37.20
390437,37.20
392462,37.20
394484,37.20
396507,37.20
398531,37.20
400553,37.20
402576,37.20
404600,37.20
406623,37.20
408645,37.20
410669,37.20
412691,37.20
414715,37.20
416738,37.20
418760,37.20
420785,37.20
422807,37.20
424829,37.20
426854,37.20
428876,37.20
430899,37.20
432922,37.20
434945,37.20
436969,37.20
438991,37.20
441014,37.20
443038,37.20
445061,37.20
447083,37.20
449106,37.20
451129,37.20
453152,37.20
455175,37.30
457197,37.30
459220,37.30
461243,37.30
463266,37.30
465289,37.30
467313,37.30
469336,37.30
471359,37.30
473381,37.30
475405,37.30
477427,37.30
479450,37.30
481473,37.30
483495,37.30
485519,37.30
487541,37.30
489566,37.30
491588,37.30
493613,37.30
495635,37.30
497658,37.30
499681,37.30
501704,37.30
503727,37.30
505749,37.30
507772,37.30
509795,37.30
511818,37.30
513841,37.30
515865,37.30
517888,37.30
519912,37.30
521934,37.30
523958,37.30
525980,37.30
528003,37.40
530027,37.40
532049,37.40
534072,37.30
536095,37.40
538118,37.40
540140,37.40
542163,37.40
544186,37.40
546208,37.40
548233,37.40
550255,37.40
552278,37.40
554302,37.40
556324,37.40
558347,37.40
560371,37.40
562394,37.40
564416,37.40
566440,37.40
568463,37.40
570485,37.40
572510,37.40
574532,37.40
576555,37.40
578579,37.40
580601,37.40
582624,37.40
584648,37.40
586671,37.40
588693,37.40
590717,37.40
592740,37.40
594762,37.40
596787,37.40
598809,37.40
600832,37.40
602856,37.40
