ms,degC
6067,32.00
8089,32.30
10114,32.40
12136,32.60
14158,32.80
16182,32.90
18204,33.00
20228,33.20
22252,33.30
24274,33.50
26297,33.60
28319,33.70
30344,33.80
32366,33.90
34148,34.00
36125,34.00
38101,34.10
40078,34.20
42056,34.30
44033,34.30
46009,34.40
48987,34.50
50964,34.50
52942,34.60
54917,34.60
56395,34.70
58873,34.80
60850,34.80
62826,34.80
64802,34.80
66220,34.90
68343,34.90
70265,35.00
72787,35.00
74311,35.00
76335,35.00
78358,35.10
80380,35.10
82402,35.20
84527,35.20
86450,35.20
88473,35.20
90495,35.20
92517,35.30
94542,35.30
96564,35.30
98949,35.40
100927,35.40
102902,35.40
104880,35.40
106858,35.40
