ms,degC
4044,27.60
6067,27.90
8090,28.00
10115,28.20
12137,28.50
14159,28.80
16183,29.00
18205,29.20
20229,29.40
22251,29.50
24273,29.80
26297,30.00
28319,30.30
30343,30.40
32365,30.60
34149,30.80
36124,31.00
38102,31.20
40078,31.30
42056,31.50
44032,31.60
46010,31.80
48988,31.90
50965,32.00
52941,32.10
54918,32.30
56896,32.40
58874,32.50
60849,32.50
62827,32.70
64204,32.80
66219,32.80
68241,32.90
70264,33.00
72286,33.00
74309,33.10
76333,33.30
78356,33.30
80378,33.30
82402,33.40
84425,33.50
86447,33.50
88472,33.50
90494,33.60
92516,33.70
94540,33.70
96562,33.80
98951,33.80
100927,33.90
102904,33.90
104882,33.90
