ms,degC
2021,25.60
4045,26.70
6068,27.10
8090,27.60
10114,28.00
12138,28.40
14160,28.80
16183,29.00
18205,29.40
20229,29.60
22251,29.90
24274,30.20
26297,30.50
28319,30.80
30342,31.00
32366,31.30
34148,31.50
36124,31.70
38102,31.90
40079,32.00
42057,32.20
42034,32.40
44012,32.50
46988,32.70
48964,32.80
50941,32.80
52918,33.00
54896,33.10
56874,33.20
58851,33.30
60829,33.40
62804,33.40
64219,33.50
66243,33.60
68265,33.60
70287,33.70
72310,33.80
74332,33.80
76355,33.90
78379,33.90
80402,34.00
82425,34.00
84447,34.10
86470,34.10
88492,34.20
90514,34.20
92538,34.20
94561,34.20
96431,34.20
98642,34.30
100381,34.30
102541,34.30
