ms,degC
14158,25.30
16181,25.80
18203,26.20
20226,26.70
22249,27.10
24271,27.50
26296,27.80
28318,28.10
30341,28.40
32364,28.70
34149,29.00
36126,29.20
38104,29.40
40079,29.60
42357,29.80
44034,30.00
46012,30.30
48989,30.50
50966,30.60
52942,30.80
54919,31.00
56897,31.10
58874,31.30
60850,31.40
62828,31.50
64805,31.60
66219,31.70
68241,31.80
70264,31.90
72287,32.00
74311,32.00
76334,32.10
78358,32.20
80382,32.30
82405,32.30
84429,32.40
86451,32.50
88474,32.50
90496,32.50
92518,32.60
94542,32.60
96566,32.70
98946,32.80
100924,32.80
102901,32.80
104879,32.90
106857,32.90
108832,32.90
110810,33.00
112787,33.00
114653,33.10
