ms,degC
6067,31.00
8089,31.30
10114,31.40
12136,31.60
14158,31.80
16182,31.90
18204,32.00
20228,32.20
22252,32.30
24274,32.50
26297,32.60
28319,32.70
30344,32.80
32366,32.90
34148,33.00
36125,33.00
38101,33.10
40078,33.20
42056,33.30
44033,33.30
46009,33.40
48987,33.50
50964,33.50
52942,33.60
54917,33.60
56395,33.70
58873,33.80
60850,33.80
62826,33.80
64802,33.80
66220,33.90
68343,33.90
70265,34.00
72787,34.00
74311,34.00
76335,34.00
78358,34.10
80380,34.10
82402,34.20
84527,34.20
86450,34.20
88473,34.20
90495,34.20
92517,34.30
94542,34.30
96564,34.30
98949,34.40
100927,34.40
102902,34.40
104880,34.40
106858,34.40
