ms,degC
-8898,27.90
-6876,28.40
-4853,28.90
-2830,29.30
-807,29.60
1216,30.00
3238,30.50
5261,30.80
7284,31.10
9307,31.40
11330,31.50
13352,31.80
15375,32.00
17399,32.30
19422,32.40
21444,32.50
23467,32.60
25491,32.80
27513,32.80
29536,33.00
31558,33.00
-31955,33.10
-29931,33.20
-27909,33.30
-25886,33.30
-23862,33.40
-21839,33.50
-19817,33.50
-17794,33.50
-15771,33.60
-13749,33.60
-11725,33.70
-9703,33.70
-7680,33.80
-5658,33.80
-3634,33.80
-1611,33.90
411,33.90
2434,34.00
4456,34.00
6479,34.00
8504,34.00
10527,34.00
12550,34.00
14572,34.10
16594,34.20
18619,34.20
20641,34.20
22664,34.20
24686,34.20
26711,34.20
28733,34.20
30755,34.30
-32756,34.30
-30734,34.40
-28711,34.40
-26689,34.40
-24665,34.40
-22642,34.40
-16575,34.50
-14553,34.40
-12528,34.40
-10506,34.40
-8483,34.40
-6459,34.40
-4436,34.40
-2414,34.40
-392,34.40
1631,34.40
3655,34.30
5678,34.20
7700,34.20
9722,34.20
11747,34.20
13769,34.20
15792,34.20
17814,34.20
19838,34.20
21861,34.40
23883,34.30
25908,34.30
27930,34.30
29953,34.40
31975,34.40
-31537,34.40
-29514,34.40
-27492,34.40
-25469,34.40
-23445,34.40
-21423,34.40
-19400,34.40
-17376,34.50
-15353,34.50
-13331,34.50
-11306,34.50
-9284,34.50
-7262,34.50
-5238,34.60
-3216,34.60
-1193,34.60
830,34.60
2852,34.60
4875,34.60
6897,34.60
8922,34.60
10944,34.60
12966,34.60
14990,34.60
17012,34.60
19036,34.60
21058,34.60
23080,34.60
25105,34.60
27127,34.60
29150,34.60
31174,34.60
-32339,34.60
-30317,34.70
-28294,34.70
-26271,34.70
-24249,34.70
-22224,34.70
-20202,34.70
-18180,34.70
-16155,34.70
-14133,34.70
-12110,34.70
-10086,34.70
-8063,34.70
-6041,34.70
-4017,34.80
-1994,34.80
28,34.80
2051,34.80
4073,34.80
6097,34.80
8120,34.80
10142,34.80
12165,34.80
14189,34.80
16211,34.80
18234,34.80
20256,34.80
22281,34.80
24303,34.80
26326,34.80
28350,34.80
30372,34.80
32395,34.80
-31119,34.80
-29094,34.80
-27072,34.80
-25050,34.80
-23027,34.80
-21003,34.80
-18980,34.80
-16958,34.80
-14933,34.90
-12911,34.90
-10889,34.90
-8864,34.80
-6842,34.90
-4819,34.90
-2797,34.90
-773,34.90
1250,34.90
3272,34.90
5295,34.90
7319,34.90
9341,34.90
11364,34.90
13388,34.90
15411,34.90
17433,34.90
19457,34.90
21479,34.90
23501,34.90
25524,34.90
27547,34.90
29570,34.90
31592,34.90
-31920,35.00
-29897,34.90
-27875,34.90
-25850,35.00
-23827,35.00
-21805,35.00
-19782,35.00
-17760,35.00
-15735,35.00
-13713,35.00
-11690,35.00
-9668,35.00
-7646,35.00
-5621,35.00
-3599,34.90
-1576,35.00
446,35.00
2468,35.00
4491,35.00
6515,34.90
8538,34.90
10560,34.90
12584,34.90
14607,34.90
16629,34.90
18652,34.80
20676,34.90
22699,34.90
24721,34.80
26745,34.80
28768,34.90
30790,34.90
-32722,35.00
-30699,34.90
-28677,35.00
-26654,35.00
-24632,35.00
-22607,34.90
-20585,34.90
-18563,34.90
-16538,35.00
-14516,35.00
-12493,34.90
-10471,35.00
-8446,34.90
-6424,35.10
-4402,35.00
-2379,35.00
-355,34.90
1668,34.90
3690,34.90
5712,35.10
7737,35.00
9759,35.10
11782,35.10
13804,35.10
15828,35.10
17851,35.10
19873,34.90
21898,35.10
23920,35.10
25943,35.00
27965,35.10
29989,35.00
32012,35.00
-31502,35.00
-29479,34.90
-27455,35.10
-25433,35.00
-23410,34.90
-21386,34.90
-19363,34.90
-17341,35.10
-15316,35.10
-13294,34.90
-11272,35.00
-9249,34.90
-7225,34.90
-5202,34.90
-3180,34.90
-1157,35.10
866,35.10
2888,35.00
4911,35.10
6933,35.10
8957,35.10
10980,34.90
13002,35.10
15027,34.90
17049,34.90
19072,35.10
21096,34.90
23118,34.90
25141,35.10
27165,35.10
29188,34.90
-32303,35.20
-30280,35.00
-28258,35.00
-26235,35.00
-24213,35.00
-22189,35.00
-20166,35.00
-18144,35.00
-16121,34.90
-14097,35.00
-12074,35.00
-10052,34.90
-8030,35.00
-6006,35.00
-3982,35.00
-1959,34.90
63,34.90
2085,34.90
4110,34.90
6132,35.00
8155,34.90
10177,35.00
12200,35.00
14225,35.00
16247,34.90
18270,34.90
20294,34.90
22317,34.90
24339,34.90
26363,34.80
28386,34.80
30408,34.60
32432,34.60
31627,33.00
-31886,33.10
-29863,33.20
-27841,33.30
-25817,33.50
-23794,33.60
-21772,33.80
-19748,33.90
-17725,34.00
-15703,34.20
-13680,34.20
-11656,34.40
-9633,34.40
-7611,34.40
-5588,34.50
-3564,34.70
-1542,34.70
481,34.80
2503,34.80
4528,34.80
6551,34.80
8573,34.90
10596,34.80
12620,34.90
14643,34.90
16665,35.10
18690,35.10
20712,35.10
22734,35.10
24757,35.20
26781,35.20
28804,35.20
30826,35.30
-32686,35.30
-30663,35.30
-28641,35.30
-26617,35.30
-24595,35.30
-22570,35.40
-20548,35.40
-18526,35.40
-16502,35.40
-14480,35.40
-12457,35.40
-10434,35.40
-8412,35.50
-6389,35.50
-4365,35.50
-2342,35.50
-320,35.50
