ms,degC
\,
2021,27.3
\,
4045,27.5
\,
6068,27.6
\,
8090,27.8
\,
10113,27.9
\,
12137,28
\,
14159,28.2
\,
16182,28.4
\,
18204,28.5
\,
20229,28.7
\,
22251,28.7
\,
24273,28.9
\,
26298,29
\,
28320,29.1
\,
30343,29.2
\,
32365,29.4
\,
-31146,29.5
\,
-29124,29.6
\,
-27102,29.6
\,
-25077,29.8
\,
-23055,29.9
\,
-21032,29.9
\,
-19008,30
\,
-16986,30.1
\,
-14963,30.2
\,
-12941,30.3
\,
-10916,30.4
\,
-8894,30.5
\,
-6872,30.5
\,
-4848,30.7
\,
-2826,30.8
\,
-803,30.8
\,
1219,30.9
\,
3241,31
\,
5266,31.1
\,
7288,31.2
\,
9311,31.3
\,
11333,31.3
\,
13358,31.4
\,
15380,31.5
\,
17402,31.5
\,
19426,31.6
\,
21448,31.7
\,
23473,31.8
\,
25495,31.8
\,
27517,31.9
\,
29540,32
\,
31562,32
\,
-31950,32
\,
-29927,32.2
\,
-27902,32.2
\,
-25879,32.3
\,
-23857,32.3
\,
-21834,32.3
\,
-19812,32.4
\,
-17789,32.5
\,
-15766,32.5
\,
-13742,32.6
\,
-11718,32.6
\,
-9696,32.7
\,
-7673,32.8
\,
-5651,32.8
\,
-3629,32.8
\,
-1606,33
\,
416,33
\,
2439,33
\,
4461,33.1
\,
6483,33.1
\,
8506,33.2
\,
10528,33.2
\,
12553,33.3
\,
14576,33.3
\,
16599,33.3
\,
18621,33.4
\,
20643,33.4
\,
22668,33.5
\,
24690,33.5
\,
26713,33.5
\,
28735,33.5
\,
30759,33.6
\,
-32753,33.6
\,
-30731,33.7
\,
-28708,33.7
\,
-26685,33.8
\,
-24660,33.8
\,
-22638,33.8
\,
-20616,33.8
\,
-18593,33.9
\,
-16569,33.9
\,
-14546,33.9
\,
-12524,34
\,
-10502,34
\,
-8479,34
\,
-6457,34
\,
-4434,34.1
\,
-2411,34.1
\,
-387,34.1
\,
1637,34.1
\,
3660,34.2
\,
5683,34.2
\,
7705,34.3
\,
9728,34.3
\,
11750,34.3
\,
13774,34.3
\,
15797,34.3
\,
17819,34.3
\,
19842,34.3
\,
21865,34.4
\,
23889,34.4
\,
25912,34.5
\,
27934,34.5
\,
29957,34.5
\,
31979,34.5
\,
-31533,34.5
\,
-29509,34.5
\,
-27487,34.5
\,
-25464,34.6
\,
-23442,34.7
\,
-21417,34.7
\,
-19395,34.7
\,
-17373,34.6
\,
-15350,34.7
\,
-13326,34.7
\,
-11303,34.7
\,
-9281,34.7
\,
