ms,degC
2021,25.80
4045,26.10
6069,26.30
8091,26.60
10114,27.00
12136,27.30
14160,27.60
16183,27.90
18205,28.20
20228,28.50
22252,28.80
24275,29.00
26298,29.30
28320,29.50
30343,29.70
32367,30.00
34146,30.20
36124,30.40
38102,30.60
40078,30.80
42054,31.00
44031,31.30
46008,31.40
48986,31.50
50963,31.80
52940,31.90
54917,32.00
56895,32.20
58871,32.20
60848,32.30
62826,32.50
64803,32.60
66220,32.80
68245,32.80
70268,33.00
72290,33.00
74313,33.10
76335,33.20
78360,33.30
80383,33.30
82405,33.50
84428,33.50
86452,33.60
88475,33.60
90497,33.70
92520,33.80
94544,33.80
96566,33.80
98947,33.90
100925,34.00
102362,34.10
