ms,degC
\,
2021,29.8
\,
4045,29.6
\,
6068,29.7
\,
8090,29.7
\,
10115,29.8
\,
12137,29.9
\,
14159,30
\,
16182,30.1
\,
18204,30.2
\,
20229,30.4
\,
22251,30.5
\,
24273,30.8
\,
26298,31
\,
28320,31.2
\,
30343,31.4
\,
32367,31.5
\,
-31146,31.8
\,
-29124,32
\,
-27102,32.1
\,
-25079,32.3
\,
-23055,32.5
\,
-21032,32.6
\,
-19010,32.8
\,
-16988,33
\,
-14965,33.1
\,
-12941,33.2
\,
-10918,33.3
\,
-8896,33.3
\,
-6874,33.5
\,
-4849,33.5
\,
-2827,33.7
\,
-804,33.8
\,
1218,33.8
\,
3240,33.9
\,
5263,34
\,
7285,34.2
\,
9309,34.2
\,
11332,34.2
\,
13357,34.3
\,
15379,34.3
\,
17401,34.4
\,
19424,34.5
\,
21448,34.5
\,
23471,34.6
\,
25493,34.6
\,
27517,34.7
\,
29540,34.7
\,
31562,34.7
\,
-31950,34.8
\,
-29926,34.8
\,
-27903,34.9
\,
-25881,34.9
\,
-23859,34.9
\,
-21834,35
\,
-19812,35
\,
-17789,35.1
\,
-15767,35.1
\,
-13744,35.1
\,
-11719,35.1
\,
-9697,35.1
\,
-7674,35.2
\,
-5652,35.2
\,
-3628,35.3
\,
-1605,35.3
\,
417,35.3
\,
2440,35.3
\,
4462,35.3
\,
6487,35.3
\,
8509,35.4
\,
10531,35.5
\,
12554,35.4
\,
14578,35.5
\,
16601,35.5
\,
18623,35.5
\,
20647,35.5
\,
22670,35.6
\,
24692,35.6
\,
26717,35.6
\,
28739,35.6
\,
30761,35.7
\,
-32750,35.7
\,
-30728,35.7
\,
-28705,35.7
\,
-26683,35.8
\,
-24658,35.8
\,
-22635,35.8
\,
-20613,35.8
\,
-18590,35.9
\,
-16568,36
\,
-14543,35.9
\,
-12521,35.9
\,
-10499,35.9
\,
-8476,35.9
\,
-6452,36
\,
-4429,36
\,
-2407,36
\,
-384,36
\,
1638,36
\,
3660,36
\,
5685,36.1
\,
7708,36.2
\,
9731,36.2
\,
11753,36.2
\,
13775,36.2
\,
15800,36.2
\,
17822,36.2
\,
19845,36.3
\,
21869,36.3
\,
23891,36.3
\,
25914,36.3
\,
27936,36.3
\,
29960,36.3
\,
