fish,date,m.s,cm.s,bl.s,met.rate
Pseed5,2019-06-17-121535,0.2,20,1.5689972846036528,1.0644142309707922
Pseed5,2019-06-17-121553,0.2,20,1.5689972846036528,1.0701606876726166
Pseed5,2019-06-17-121635,0.2,20,1.5689972846036528,0.972206882981443
Pseed5,2019-06-17-121727,0.2,20,1.5689972846036528,0.9441431692582009
Pseed5,2019-06-17-122714,0.24,24,1.8827967415243836,1.1920754889918637
Pseed5,2019-06-17-122733,0.24,24,1.8827967415243836,1.0819966608051326
Pseed5,2019-06-17-122816,0.24,24,1.8827967415243836,1.34571943640406
Pseed5,2019-06-17-135037,0.315,31.5,2.4711707232507534,1.8326536138059484
Pseed5,2019-06-17-135108,0.315,31.5,2.4711707232507534,1.689609095173913
Pseed5,2019-06-17-135138,0.315,31.5,2.4711707232507534,2.0482829938048046
Pseed5,2019-06-17-141459,0.355,35.5,2.784970180171484,2.20177745164772
Pseed5,2019-06-17-141631,0.355,35.5,2.784970180171484,2.26185255307633
Pseed5,2019-06-17-144942,0.16,16,1.2551978276829223,0.6369256024095282
Pseed5,2019-06-17-145015,0.16,16,1.2551978276829223,0.8479509768086773
Pseed5,2019-06-17-145043,0.16,16,1.2551978276829223,0.6317839424942175
Pseed5,2019-06-17-151149,0.11,11,0.8629485065320092,0.7532542385986529
Pseed5,2019-06-17-151448,0.11,11,0.8629485065320092,0.5985530383822556
Pseed6,2019-07-24-150933,0.23,23,1.8200222056471378,1.1636860920463301
Pseed6,2019-07-24-151305,0.23,23,1.8200222056471378,1.2273598199066844
Pseed6,2019-07-24-151536,0.23,23,1.8200222056471378,1.3064034498667965
Pseed6,2019-07-24-151629,0.23,23,1.8200222056471378,1.0006521306849212
Pseed6,2019-07-24-151731,0.23,23,1.8200222056471378,1.2817172504967438
Pseed6,2019-07-24-151758,0.23,23,1.8200222056471378,1.251445219596052
Pseed6,2019-07-24-153004,0.27,27,2.1365478066292485,1.1201110104523317
Pseed6,2019-07-24-153104,0.27,27,2.1365478066292485,1.2515568759991023
Pseed6,2019-07-24-153225,0.27,27,2.1365478066292485,1.452230478458614
Pseed6,2019-07-24-153240,0.27,27,2.1365478066292485,1.2411418144140403
Pseed6,2019-07-24-153313,0.27,27,2.1365478066292485,1.494611435748092
Pseed6,2019-07-24-153819,0.27,27,2.1365478066292485,1.218624775307408
Pseed6,2019-07-24-153858,0.27,27,2.1365478066292485,1.0883994594058144
Pseed6,2019-07-24-153922,0.27,27,2.1365478066292485,1.23668804365792
Pseed6,2019-07-24-154024,0.27,27,2.1365478066292485,1.319193985896466
Pseed6,2019-07-24-154057,0.27,27,2.1365478066292485,1.5716660902739037
Pseed6,2019-07-24-154556,0.11,11,0.870445402700805,0.6822785030883827
Pseed6,2019-07-24-154723,0.11,11,0.870445402700805,0.6261481435366382
Pseed6,2019-07-24-154848,0.11,11,0.870445402700805,0.5428398311072069
Pseed6,2019-07-24-155251,0.3,30,2.373942007365832,1.4764152215776425
Pseed6,2019-07-24-155401,0.3,30,2.373942007365832,1.3442921701701844
Pseed6,2019-07-24-155441,0.3,30,2.373942007365832,1.4191602793884328
Pseed6,2019-07-24-155504,0.3,30,2.373942007365832,1.578566935475565
Pseed6,2019-07-26-130447,0.3,30,2.373942007365832,1.6066347946174417
Pseed6,2019-07-26-130552,0.3,30,2.373942007365832,1.4696697177825968
Pseed6,2019-07-26-132855,0.3,30,2.373942007365832,1.888831755704071
Pseed6,2019-07-26-133252,0.135,13.5,1.0682739033146242,0.6092467631904793
Pseed6,2019-07-26-133325,0.135,13.5,1.0682739033146242,0.7158946518594944
Pseed6,2019-07-26-133405,0.135,13.5,1.0682739033146242,0.646571724000698
Pseed6,2019-07-26-133450,0.17,17,1.3452338041739713,0.6919335808047359
Pseed6,2019-07-26-133552,0.17,17,1.3452338041739713,0.6948351152564115
Pseed6,2019-07-26-133813,0.17,17,1.3452338041739713,0.7512346032097315
Pseed6,2019-07-26-133836,0.17,17,1.3452338041739713,0.8663817209755222
