ms,degC
2021,35.40
4045,35.50
6068,35.30
8090,35.50
10113,35.50
12137,35.80
14159,35.60
16183,35.50
18205,35.60
20228,35.70
22251,35.70
24273,35.70
26296,35.80
28319,35.80
30342,35.70
32366,35.80
34388,35.80
36411,35.80
38435,35.80
40458,35.80
42480,35.80
44504,35.80
46526,35.80
48549,35.90
50572,35.90
52594,35.80
54618,36.00
56642,36.00
58664,35.80
60687,36.00
62711,36.00
64735,36.00
66757,36.10
68780,36.10
70802,36.10
72824,36.10
74849,36.10
76871,36.10
78894,36.10
80917,36.20
82939,36.20
84962,36.20
86984,36.00
89009,36.20
91031,36.20
93053,36.30
95078,36.20
97100,36.30
99123,36.10
101147,36.20
