ms,degC
2021,35.20
4045,35.30
6068,35.30
8090,35.30
10113,35.40
12137,35.40
14159,35.40
16182,35.40
18204,35.50
20228,35.50
22252,35.60
24274,35.60
26297,35.70
28319,35.70
30344,35.70
32366,35.70
34388,35.80
36411,35.70
38435,35.80
40458,35.80
42480,35.80
44503,35.80
46527,35.80
48549,35.80
50572,35.90
52594,35.90
54618,35.90
56642,35.90
58664,36.00
60687,36.00
62709,36.00
64732,36.00
66755,36.00
68780,36.10
70802,36.00
72824,36.10
74847,36.10
76870,36.10
78895,36.10
80917,36.10
82939,36.10
84962,36.20
86986,36.20
89009,36.20
91031,36.20
93053,36.20
95078,36.20
97100,36.30
99123,36.30
101145,36.30
